fid,fname,cast_count,verified_addresses
210202,cimbom,1,"['0xecaa60546dcb85e29a3fd93baaf53f9c22e0dc38', '0xb8c6f543dc0941f81082e5c887810be7321ffca7']"
209614,mindgrinder,1,[]
210573,mommyof3boys,1,['0x452444cf4c72735af571cbdf760ccc84cf9003bb']
210574,dinhtientung,1,"['0xc3628012ac9406066a85678c6caa1932380f3d74', '0xc3628012ac9406066a85678c6caa1932380f3d74']"
207570,rdeltabravo,1,[]
210576,biglex32,1,[]
207976,reimirex,1,[]
206835,dragonslayer,1,[]
207151,toncoin,1,[]
208136,dt76,1,[]
210211,welch,1,[]
206713,zhei,1,[]
206905,sed,1,[]
206343,karpkarp,1,[]
209628,rudoloh,1,[]
207157,archpunk,1,"['0x515291ce056e30ec061f95c465506a9ff679d7f0', '0x515291ce056e30ec061f95c465506a9ff679d7f0']"
210598,alaahd,1,[]
209363,dcc2s0b,1,['0x6e5482826713eb60f8312d6260d31007a8f3f356']
206907,breezyslut,1,[]
209366,krabbe86,1,[]
